tas,	Year, Month, Country
19.1996,1973,12,34.0581
18.7975,1974,1,24.6507
19.2326,1974,2,17.5783
20.759,1974,3,48.985
24.5902,1974,4,91.247
26.8973,1974,5,145.679
26.8644,1974,6,225.076
26.9615,1974,7,235.788
26.4851,1974,8,263.313
26.3048,1974,9,199.708
24.597,1974,10,297.075
22.5401,1974,11,287.938
20.5676,1974,12,69.3372
19.9756,1975,1,125.846
21.3986,1975,2,67.0251
22.9161,1975,3,34.9644
25.9586,1975,4,66.1848
26.6659,1975,5,211.233
26.8423,1975,6,230.507
26.9637,1975,7,212.028
26.5639,1975,8,302.727
26.3012,1975,9,263.255
24.5087,1975,10,185.692
21.5676,1975,11,157.532
18.0094,1975,12,96.3735
18.3096,1976,1,11.1065
21.0125,1976,2,30.9359
21.4462,1976,3,38.3145
24.7182,1976,4,84.9112
26.5383,1976,5,164.889
26.7607,1976,6,187.168
26.8858,1976,7,203.204
26.4881,1976,8,234.414
25.7708,1976,9,250.884
24.5713,1976,10,230.989
20.7945,1976,11,131.218
20.5994,1976,12,35.7602
18.6237,1977,1,39.7984
18.6284,1977,2,8.17531
22.0028,1977,3,13.5164
25.2299,1977,4,65.1937
27.234,1977,5,97.967
28.0894,1977,6,170.78
27.014,1977,7,372.285
27.0262,1977,8,204.762
25.6875,1977,9,243.936
24.841,1977,10,174.588
21.9774,1977,11,99.6481
21.2626,1977,12,96.4195
20.2368,1978,1,45.7477
20.5797,1978,2,19.1125
22.9835,1978,3,40.2511
25.0496,1978,4,78.3761
26.3289,1978,5,201.661
27.043,1978,6,292.79
26.9158,1978,7,268.256
26.6568,1978,8,297.692
25.3144,1978,9,380.762
24.0808,1978,10,226.037
22.4643,1978,11,135.493
21.3173,1978,12,26.9429
21.2204,1979,1,20.3164
22.4333,1979,2,37.0601
23.3757,1979,3,17.6979
25.2898,1979,4,90.0614
26.3374,1979,5,226.072
26.9379,1979,6,295.367
27.5876,1979,7,194.324
26.787,1979,8,321.077
25.9927,1979,9,290.969
23.7811,1979,10,112.053
21.7453,1979,11,64.5246
21.3295,1979,12,30.5379
20.4279,1980,1,44.148
20.2713,1980,2,32.3736
23.6651,1980,3,22.0575
25.8562,1980,4,77.965
26.9428,1980,5,170.399
27.1611,1980,6,209.781
27.2487,1980,7,290.043
26.9018,1980,8,297.42
25.6612,1980,9,293.439
24.8145,1980,10,228.28
23.0793,1980,11,146.679
20.8345,1980,12,48.8457
19.2481,1981,1,21.0912
21.4908,1981,2,25.6567
22.9911,1981,3,35.2458
25.4189,1981,4,87.5979
26.0226,1981,5,193.261
26.6121,1981,6,258.401
26.6934,1981,7,233.524
27.4885,1981,8,247.904
26.7703,1981,9,189.447
24.5828,1981,10,252.046
22.5124,1981,11,247.691
19.1709,1981,12,25.2598
19.9368,1982,1,19.8096
20.832,1982,2,30.8827
22.988,1982,3,27.517
24.076,1982,4,83.2011
26.7501,1982,5,112.553
26.8214,1982,6,195.396
27.0976,1982,7,219.49
26.6605,1982,8,291.473
25.7068,1982,9,318.709
25.3032,1982,10,210.566
23.532,1982,11,210.317
18.8768,1982,12,55.1107
18.7402,1983,1,37.0237
20.9087,1983,2,22.6878
21.6707,1983,3,33.1446
26.8556,1983,4,45.6253
27.9283,1983,5,157.474
27.6282,1983,6,172.871
28.1474,1983,7,275.047
27.308,1983,8,253.341
26.8223,1983,9,221.972
25.0676,1983,10,394.969
21.6503,1983,11,139.66
19.3377,1983,12,97.918
18.1107,1984,1,5.83717
20.1847,1984,2,11.4614
22.0275,1984,3,17.4152
25.9697,1984,4,87.9557
26.1519,1984,5,191.054
26.8068,1984,6,243.032
26.9391,1984,7,194.143
26.7445,1984,8,321.972
25.6557,1984,9,242.002
23.8394,1984,10,289.055
22.9831,1984,11,218.654
20.5,1984,12,46.5094
19.5221,1985,1,67.3063
21.3608,1985,2,29.1397
20.7962,1985,3,36.9321
24.2176,1985,4,103.16
26.62,1985,5,151.181
27.0034,1985,6,187.898
26.6467,1985,7,178.983
26.7865,1985,8,311.568
25.555,1985,9,283.809
24.6223,1985,10,251.037
23.2286,1985,11,156.52
20.3262,1985,12,27.6433
19.2157,1986,1,11.0462
20.6171,1986,2,9.809
21.9043,1986,3,8.60206
25.4043,1986,4,121.734
26.316,1986,5,291.203
27.0843,1986,6,270.942
26.7781,1986,7,294.939
27.0058,1986,8,253.733
26.0325,1986,9,271.331
24.4336,1986,10,291.242
22.2228,1986,11,187.273
21.0684,1986,12,98.2771
20.5309,1987,1,11.4246
21.8699,1987,2,12.2196
23.3418,1987,3,20.401
25.5264,1987,4,59.3829
27.4401,1987,5,144.906
27.5479,1987,6,184.097
27.5459,1987,7,288.798
27.1701,1987,8,265.338
26.1097,1987,9,251.228
25.5938,1987,10,167.644
23.4043,1987,11,148.794
18.8923,1987,12,26.1798
20.9191,1988,1,37.0765
21.2215,1988,2,38.3777
21.754,1988,3,18.9729
24.5852,1988,4,55.5371
27.047,1988,5,208.783
27.2909,1988,6,159.065
27.3476,1988,7,183.077
26.7426,1988,8,239.23
26.3219,1988,9,173.549
24.0191,1988,10,436.864
21.6596,1988,11,107.926
20.5643,1988,12,30.9584
19.9013,1989,1,39.5623
20.2072,1989,2,6.98347
21.3755,1989,3,71.3583
25.6372,1989,4,56.2046
26.3981,1989,5,204.482
27.0081,1989,6,268.449
27.2654,1989,7,239.45
27.1261,1989,8,179.612
26.508,1989,9,236.607
24.9172,1989,10,254.702
22.7828,1989,11,83.563
20.5588,1989,12,55.3055
20.6366,1990,1,31.5395
21.2421,1990,2,65.8165
21.701,1990,3,65.6968
25.5608,1990,4,63.8932
25.9814,1990,5,193.941
27.0902,1990,6,240.437
26.9124,1990,7,323.093
27.6215,1990,8,188.221
26.539,1990,9,290.523
24.8785,1990,10,210.815
23.3786,1990,11,231.05
21.404,1990,12,29.233
21.2641,1991,1,18.118
21.7298,1991,2,14.8579
23.9737,1991,3,46.4984
26.2745,1991,4,36.1466
27.4259,1991,5,107.401
27.5647,1991,6,238.163
27.2983,1991,7,253.61
26.9164,1991,8,270.235
26.7628,1991,9,232.92
24.6845,1991,10,197.934
22.4586,1991,11,105.337
21.3386,1991,12,79.4345
18.9462,1992,1,142.585
20.5247,1992,2,53.1401
22.7815,1992,3,36.6519
26.8073,1992,4,35.3283
27.6538,1992,5,116.384
27.4563,1992,6,209.271
26.9516,1992,7,319.908
27.3955,1992,8,187.041
26.7272,1992,9,221.532
23.8913,1992,10,160.365
21.7671,1992,11,83.6364
21.4601,1992,12,96.1109
19.0534,1993,1,24.8236
21.2081,1993,2,31.2285
22.6215,1993,3,35.1611
25.4837,1993,4,76.2163
27.0579,1993,5,174.115
27.9814,1993,6,211.718
27.5191,1993,7,196.471
27.2252,1993,8,268.77
26.504,1993,9,241.719
24.4762,1993,10,167.781
23.0068,1993,11,119.581
20.198,1993,12,72.4858
20.9519,1994,1,13.2944
22.3773,1994,2,32.9093
21.149,1994,3,62.2816
26.6498,1994,4,35.6912
27.5385,1994,5,235.487
26.9911,1994,6,248.917
27.0498,1994,7,405.597
26.9347,1994,8,302.481
26.2905,1994,9,320.645
24.3455,1994,10,204.564
23.3644,1994,11,138.529
22.2432,1994,12,103.222
19.9174,1995,1,33.7922
20.1029,1995,2,21.7449
22.3825,1995,3,30.9501
26.6082,1995,4,39.9035
27.1686,1995,5,151.754
27.8195,1995,6,229.87
27.2684,1995,7,330.118
27.1137,1995,8,287.467
26.584,1995,9,227.125
25.3163,1995,10,218.123
22.4686,1995,11,226.792
20.3245,1995,12,35.174
20.0181,1996,1,21.7386
19.4103,1996,2,17.3055
22.3833,1996,3,57.5022
24.0762,1996,4,86.9718
